track_id,audio features,audio features1
3,"[-1.074047399214465, 1.1666261344441158, 1.1880255809430118, 0.005515120149522476, -0.2388211746054321, -0.23110627830115701, 0.4178406467529716, -0.02646168761797481, -0.7850451237819761, 0.2384096936782091]",663f2c4c45a5a1b6dc17406e
5,"[-1.5938378178679187, -0.12519350282539948, 0.5817849407390606, -1.7343154962884888, -0.259079270666859, -0.9377274846495454, 1.5276716910399963, 0.14672647865475744, 0.33215560992827486, 0.26259223196707127]",663f2c4c45a5a1b6dc17406f
10,"[-0.10716848711059411, 1.9768038420922613, -1.043203455758338, -0.027635072721928604, -0.5350668701452235, 0.20713773678766628, -0.7559441378349097, -0.6095154662597496, 0.026306359745353107, -0.2769453522030062]",663f2c4c45a5a1b6dc174070
134,"[-3.1769281519227057, -0.8880676750304239, 0.04523205327390273, -1.0755230591069966, -0.0007239825583820062, -0.1565406544125621, 0.10275604634847854, 0.11674708593695128, -0.41114472193529916, 0.37649759319575904]",663f2c4c45a5a1b6dc174071
136,"[0.822015730027234, 0.14758223333487977, -0.46611912404315803, -1.4074151863516053, -0.9280480919758979, -1.31118137982785, 0.9605209686757894, -1.1963000307409462, -0.6494248706426418, -0.793040263647953]",663f2c4c45a5a1b6dc174072
139,"[-0.7590518943872062, 1.1059927165497951, -0.0020164740370848954, -0.30406923339794995, -0.17122776468759018, 0.3105258671963889, -1.2663354950630292, 0.08944397944539988, -0.27973250029877567, -0.39172542017323575]",663f2c4c45a5a1b6dc174073
140,"[-0.15437508461786048, -3.103326809430266, 2.4966198557099792, 0.8055816367652757, -0.7047713681351434, 0.8160638653385921, -0.15212704050728004, -0.004658452318453843, -0.5594306589228494, 0.04887774032192761]",663f2c4c45a5a1b6dc174074
141,"[1.2003397659745076, -1.4988692437329316, 0.7163446165518278, -0.4484158725759088, -0.388120415133486, 0.8115497568672075, -1.6456282510826181, -0.13315691468166718, -0.5105287793202182, 0.31720182702990307]",663f2c4c45a5a1b6dc174075
148,"[-1.9796759887777224, -1.048429136060906, -1.2992028851287787, -0.5329967969576258, 0.5558292040607739, -0.04902075500006533, 0.5931833063926976, -0.9092278417916537, -0.5372782590405043, -0.3286675216577703]",663f2c4c45a5a1b6dc174076
181,"[-0.632865661087889, 2.0902641362785057, -1.0092835499976782, 1.3034236615575732, -0.01216263101947555, -2.6498077856117863, -0.01142094953845998, 0.00038505960899572314, 0.8059441556368201, 1.107735951103863]",663f2c4c45a5a1b6dc174077
182,"[-3.653888353054243, -0.35944762630392585, -3.447608516171398, -0.2758400661694121, 2.4074760813041047, -2.7238457122673885, -0.5314166155156631, 1.2781699968691538, 2.8359772327823274, 0.824276816896699]",663f2c4c45a5a1b6dc174078
190,"[3.778200021909219, 2.6284693859997375, -0.2022743567327635, -0.24087724843405348, -0.3908007317090629, -0.1779058065691939, 1.2539393933304186, 0.4798597316571592, -0.8840383581606451, -0.1906492745414995]",663f2c4c45a5a1b6dc174079
193,"[3.3687433868335677, 1.3585541365235059, -0.6672631028491982, 0.4449175502043963, -0.49671804680895515, -0.6575426344687201, 0.70011801697238, 0.49607651952896487, 0.09690412370998477, 0.5986479981571311]",663f2c4c45a5a1b6dc17407a
